"MMS_COMPANY_NUM","MMS_START_DATE","BUS_ASC_NAME","SORT_NAME","MMS_TERM_DATE","PAC_REGION_CODE","GOM_REGION_CODE","ALASKA_RGN_CODE","ATL_REGION_CODE","DUNS_NUMBER","TERM_ACTN_EFF_DT","TERMINATION_CODE","DIVISION_NAME","LINE_1_ADDRESS","LINE_2_ADDRESS","CITY_NAME","POSTAL_ST_CODE","ZIP_CODE","COUNTRY_NAME","SEARCH_NAME"
"01226",2/2/1988,"The Stone Petroleum Corporation","STONE PETROLEUM CORPORATION",,"","G","","","",,"","","Post Office Box 52807","","Lafayette","LA","70505","","The Stone Petroleum Corporation"
"01228",2/9/1988,"Texasgulf Minerals and Metals, Inc.","TEXASGULF MINERALS AND METALS",,"","G","","","",,"","","5932 McIntyre Street","","Golden","CO","80403","","Texasgulf Minerals and Metals, Inc."
"01215",12/14/1987,"San Jacinto Properties Company","SAN JACINTO PROPERTIES COMPANY",,"","G","","","",,"","","712 Main Street","","Houston","TX","77002","","San Jacinto Properties Company"
"01169",9/2/1987,"Kelly-Brock","KELLY BROCK",,"","G","","","",,"","","1910 Houston Natural Gas","Building","Houston","TX","77002","","Kelly-Brock"
"01142",6/11/1987,"Forcenergy Inc.","FORCENERGY INC",,"","G","","","",,"","","640 Sunset Circle","","Key Biscayne","FL","33149","","Forcenergy Inc."
"01106",1/2/1987,"American Exploration Acquisition Company","AMERICAN EXPLORATION ACQUISIT",,"","G","","","",,"","","4500 RepublicBank Center","700 Louisiana","Houston","TX","77002","","American Exploration Acquisition Company"
"01109",1/6/1987,"Sandefer Offshore Production Co.","SANDEFER OFFSHORE PRODUCTION",,"","G","","","",,"","","1001 Fannin, Suite 2300","","Houston","TX","77002","","Sandefer Offshore Production Co."
"01120",2/26/1987,"F-W Gas Interests, Inc.","F-W GAS INTERESTS INC",,"","G","","","",,"","","5151 San Felipe","Suite 1200","Houston","TX","77056","","F-W Gas Interests, Inc."
"01123",2/26/1987,"Raintree Resources, Inc.","RAINTREE RESOURCES INC",,"","G","","","",,"","","Post Office Box 757","","Lake Charles","LA","70602","","Raintree Resources, Inc."
"01124",3/17/1987,"Crescent-Graham Exploration Company","CRESCENT GRAHAM EXPLORATION CO",,"","G","","","",,"","","Two Lakeway Center, S.900","3850 N. Causeway Blvd.","Metairie","LA","70002","","Crescent-Graham Exploration Company"
"01076",2/6/1986,"J. D. Tufts II (individual)","TUFTS, J D",,"","G","","","",,"","","3820 One Shell Square","","New Orleans","LA","70139","","J. D. Tufts II (individual)"
"01084",10/3/1986,"Albion International Resources Inc.","ALBION INTERNATIONAL RESOURCES",,"","G","","","",,"","","1027 North Coast Highway","Suite F","Laguna Beach","CA","92651","","Albion International Resources Inc."
"01085",9/10/1985,"Lucille G. Murchison (individual)","MURCHISON, LUCILLE G",,"","G","","","",,"","","16250 Dallas Parkway","Suite 110","Dallas","TX","75248","","Lucille G. Murchison (individual)"
"01064",1/1/1947,"John A. Been (individual)","BEEN, JOHN A",,"","G","","","",,"","","3707 Westcenter Drive","Suite 200","Houston","TX","77042","","John A. Been (individual)"
"01065",1/1/1947,"Evelyn Nicholson Houstoun (individual)","HOUSTOUN, EVELYN NICHOLSON",,"","G","","","",,"","","7511 Riverview Way","","Houston","TX","77057","","Evelyn Nicholson Houstoun (individual)"
"01003",10/31/1985,"Polo Energy Corporation","POLO ENERGY CORPORATION",,"","G","","","",,"","","Citicorp Center","Suite 2900","Houston","TX","77002","","Polo Energy Corporation"
"00964",5/2/1985,"Fina Exploration, Inc.","FINA EXPLORATION INC",,"P","G","","","",,"","","Post Office Box 2159","","Dallas","TX","75221","","Fina Exploration, Inc."
"00979",7/5/1985,"ConVest Production Company","CONVEST PRODUCTION COMPANY",,"","G","","","",,"","","c/o Fulbright & Jaworski","Bank of the Southwest Bld","Houston","TX","77002","","ConVest Production Company"
"00948",1/1/1947,"Robert F. Walker (individual)","WALKER, ROBERT F",,"","G","","","",,"","","450 E. Olive Ave.","Suite 424","Burbank","CA","91501-3319","","Robert F. Walker (individual)"
"00956",4/5/1985,"TEXANA PETROLEUM CORPORATION","TEXANA PETROLEUM CORPORATION",,"","G","","","",,"","","3355 West Alabama","Suite 840","Houston","TX","77098","","TEXANA PETROLEUM CORPORATION"
"00957",4/15/1985,"Dayfar Pty. (U.S.) Inc.","DAYFER PTY US INC",,"","G","","","",,"","","c/o Fulbright & Jaworski","Bank of the Southwest Bld","Houston","TX","77002","","Dayfar Pty. (U.S.) Inc."
"00958",4/15/1985,"Prospect Resources (U.S.) Inc.","PROSPECT RESOURCES US INC",,"","G","","","",,"","","c/o Fulbright & Jaworski","1301 McKinney Street","Houston","TX","77010","","Prospect Resources (U.S.) Inc."
"00938",1/1/1947,"N. B. Hunt (individual)","HUNT, N B",,"","G","","","",,"","","2800 Thanksgiving Tower","1601 Elm","Dallas","TX","75201","","N. B. Hunt (individual)"
"00940",1/1/1947,"Jack O. McCall (individual)","MCCALL, JACK O",,"","G","","","",,"","","Midland Nat'l Bank Tower","Suite 1210","Midland","TX","79701","","Jack O. McCall (individual)"
"00913",12/24/1984,"Pend Oreille Oil & Gas Company","PEND OREILLE OIL & GAS COMPANY",,"","G","","","",,"","","c/o Gulf Resources & Chem","99 High Street, 16 Floor","Boston","MA","02110","","Pend Oreille Oil & Gas Company"
"00897",10/9/1984,"APD Company","APD COMPANY",,"","G","","","",,"","","c/o Apache Corporation","Post Office Box 4628","Houston","TX","77210","","APD Company"
"00879",6/29/1984,"Superior Offshore Pipeline Company","SUPERIOR OFFSHORE PIPELINE CO",,"","G","","","",,"","","12450 Greenspoint Drive","","Houston","TX","77060-1991","","Superior Offshore Pipeline Company"
"00880",7/2/1980,"PB-SB Investments Inc.","PB-SB INVESTMENTS INC",,"","G","","","",,"","","One New York Plaza","","New York","NY","10004","","PB-SB Investments Inc."
"00882",1/28/1988,"General Energy Operating, Ltd.","GENERAL ENERGY OPERATING LTD",,"","G","","","",,"","","c/o Entex Petroleum, Inc.","Post Office Box 2628","Houston","TX","77001","","General Energy Operating, Ltd."
"00861",3/27/1984,"HI Production Company, Inc.","HI PRODUCTION COMPANY INC",,"","G","Y","","",,"","","Post Ofice Box 34750","","Dallas","TX","75234","","HI Production Company, Inc."
"00865",3/29/1984,"Bayou Interstate Pipeline Corp.","BAYOU INTERSTATE PIPELINE COR",,"","G","","","",,"","","1200 Milam, Suite 2700","","Houston","TX","77002","","Bayou Interstate Pipeline Corp."
"00855",2/6/1984,"Harry W. Bass Estate","BASS, HARRY W ESTATE",,"","G","","","",,"","","8333 Douglas Avenue","Suite 1400","Dallas","TX","75225-5811","","Harry W. Bass Estate"
"00806",7/18/1983,"Lyco Acquisition 1983-I Ltd., a Texas Limited Partnership","LYCO ACQUISITION 1983-I LTD A",,"","G","","","",,"","","12770 Coit Road","Suite 615","Dallas","TX","75251","","Lyco Acquisition 1983-I Ltd., a Texas Limited Partnership"
"00813",8/18/1983,"Thomson-Monteith","THOMSON-MONTEITH",,"","G","","","",,"","","8080 N Central Expressway","Suite 1600","Dallas","TX","75206","","Thomson-Monteith"
"00815",8/25/1983,"Tesoro-Questor Pipeline Company","TESORO-QUESTOR PIPELINE COMP",,"","G","","","",,"","","c/o Tesoro Crude Oil Co.","8700 Tesoro Drive","San Antonio","TX","78286","","Tesoro-Questor Pipeline Company"
"00790",2/25/1983,"Ressie Oil & Minerals Corporation","RESSIE OIL & MINERALS CORPORAT",,"","G","","","",,"","","750 Bering Dr., Suite 502","","Houston","TX","77057","","Ressie Oil & Minerals Corporation"
"00799",6/6/1983,"J.F.P. Well Service, Inc.","JFP WELL SERVICE INC",,"","G","","","",,"","","JFP Energy Bldg., Su. 300","14425 Torrey Chase Blvd.","Houston","TX","77014","","J.F.P. Well Service, Inc."
"00752",10/18/1982,"Colton Gulf Coast, Inc.","COLTON GULF COAST INC",,"P","G","","","",,"","","c/o The Gillette Company","Prudential Tower, 43rd Fl","Boston","MA","02199","","Colton Gulf Coast, Inc."
"00759",11/5/1982,"AE Investments, Inc.","AE INVESTMENTS INC",,"P","G","","","",,"","","151 Farmington Ave.","","Hartford","CT","06156","","AE Investments, Inc."
"00729",5/27/1982,"Walter Oil & Minerals Corporation","WALTER OIL & MINERALS CORPORA",,"","G","","","",,"","","240 The Main Building","1212 Main Street","Houston","TX","77002","","Walter Oil & Minerals Corporation"
"00686",11/30/1981,"Jupiter Energy Corporation","JUPITER ENERGY CORPORATION",,"","G","","","",,"","","14141 Southwest Freeway","P. O. Box 4551 (Houston 77210-4551)","Sugar Land","TX","77478","","Jupiter Energy Corporation"
"00553",7/6/1979,"OCFOGO, Inc.","OCFOGO INC",,"","G","","","",,"","","Fiberglass Tower","","Toledo","OH","43695","","OCFOGO, Inc."
"00486",12/12/1977,"ARCO Pipe Line Company","ARCO PIPE LINE COMPANY",,"","G","","","",,"","","ARCO Building","","Independence","KS","67301","","ARCO Pipe Line Company"
"00496",4/17/1978,"Cotton Petroleum Corporation","COTTON PETROLEUM COMPANY",,"","G","","","",,"","","Post Office Box 300","","Tulsa","OK","74102","","Cotton Petroleum Corporation"
"00472",6/17/1977,"General Energy Corporation","GENERAL ENERGY CORPORATION",,"","G","","","",,"","","Post Office Box 1745","","Houston","TX","77001","","General Energy Corporation"
"00385",10/17/1975,"Kirby Exploration Company","KIRBY EXPLORATION COMPANY",,"","G","","","",,"","","Post Office Box 1745","","Houston","TX","77001","","Kirby Exploration Company"
"00364",11/21/1974,"Norse Petroleum (U.S.) Incorporated","NORSE PETROLEUM U S INCORPORAT",,"","G","","","",,"","","2500 Tanglewilde","Suite 250","Houston","TX","77063","","Norse Petroleum (U.S.) Incorporated"
"00339",5/23/1974,"PanCanadian Petroleum Company","PANCANADIAN PETROLEUM COMPANY",,"P","G","Y","","",,"","","Texas Commerce Tower","600 Travis, Suite 4545","Houston","TX","77002","","PanCanadian Petroleum Company"
"00344",7/31/1974,"Petro-Lewis Funds, Inc.","PETRO-LEWIS FUNDS INC",,"","G","","","",,"","","Post Office Box 2250","","Denver","CO","80201","","Petro-Lewis Funds, Inc."
"00311",10/4/1973,"TBP Offshore Co.","TBP OFFSHORE CO",,"","G","","","",,"","","8117 Preston","Suite 260 West","Dallas","TX","75225","","TBP Offshore Co."
"00312",6/22/1977,"Total Petroleum, Inc.","TOTAL PETROLEUM INC",,"","G","Y","","",,"","","One Allen Center","Suite 2950","Houston","TX","77002","","Total Petroleum, Inc."
"00291",8/5/1974,"Fluor Oil and Gas Corporation","FLUOR OIL AND GAS CORPORATION",,"","G","","","",,"","","1600 Broadway","Suite 1050","Denver","CO","80202","","Fluor Oil and Gas Corporation"
"00295",6/7/1973,"Koch Industries, Inc.","KOCH INDUSTRIES INC",,"P","G","","","",,"","","Post Office Box 2256","","Wichita","KS","67201","","Koch Industries, Inc."
"00307",2/5/1975,"Williams Exploration Company","WILLIAMS EXPLORATION COMPANY",,"","G","Y","","",,"","","1111 Fannin Street","Suite 1100","Houston","TX","77002","","Williams Exploration Company"
"00235",12/8/1970,"Texas Eastern Exploration Co.","TEXAS EASTERN EXPLORATION CO",,"","G","Y","","",,"","","Post Office Box 2521","","Houston","TX","77001","","Texas Eastern Exploration Co."
"00193",7/11/1968,"Nelson Bunker Hunt Trust Estate","HUNT, NELSON BUNKER TRUST",,"","G","Y","","",,"","","2800 Thanksgiving Tower","","Dallas","TX","75201","","Nelson Bunker Hunt Trust Estate"
"00214",12/4/1969,"Exchange Oil & Gas Corporation","EXCHANGE OIL & GAS CORPORATION",,"","G","","","",,"","","1250 Poydras, 24th Floor","","New Orleans","LA","70112","","Exchange Oil & Gas Corporation"
"00133",9/30/1968,"Highland Resources, Inc.","HIGHLAND RESOURCES INC",,"","G","","","",,"","","4700 First City Tower","1001 Fannin","Houston","TX","77002-6708","","Highland Resources, Inc."
"00078",4/21/1977,"Chevron U.S.A. Inc.","CHEVRON USA INC",,"P","G","Y","","",,"","","100 Northpark Blvd","","Covington","LA","70433","","Chevron U.S.A. Inc."
"01793",11/24/1992,"Agricultural Methane, L.P.","AGRICULTURAL METHANE LP",,"","G","","","",,"","","1100 Louisiana, Suite 3500","","Houston","TX","77002","","Agricultural Methane, L.P."
"01811",6/11/1993,"United Trans-Western, Inc.","UNITED TRANS-WESTERN INC",,"","G","","","",,"","","16200 Dallas Parkway","Suite 270","Dallas","TX","75248","","United Trans-Western, Inc."
"01814",5/26/1993,"NAGIT (USA) INC.","NAGIT (USA) INC",,"","G","","","",,"","","2611 Jefferson Davis Highway","Suite 3000","Arlington","VA","22202","","NAGIT (USA) INC."
"01816",6/22/1993,"Aegis Energy, Inc.","AEGIS ENERGY INC",,"","G","","","",,"","","113 Heymann Blvd.","Building 7","Lafayette","LA","70503","","Aegis Energy, Inc."
"01091",9/25/1992,"Gulfstream Resources, Inc.","GULFSTREAM RESOURCES, INC.",,"","G","","","",,"","","3850 North Causeway Blvd.","Suite 830","Metairie","LA","70002","","Gulfstream Resources, Inc."
"01835",10/4/1993,"White Lake, Inc.","WHITE LAKE INC.",,"","G","","","",,"","","1103 21st Street South","","Birmingham","AL","35205","","White Lake, Inc."
"01849",1/6/1994,"Sinclair Oil Corporation","SINCLAIR OIL CORPORATION",,"","G","","","",,"","","Post Office Box 30825","","Salt Lake City","UT","84130-0825","","Sinclair Oil Corporation"
"01878",3/7/1994,"Kraker Petroleum Corporation","KRAKER PETROLEUM CORPORATION",,"","G","","","",,"","","7030 South Yale, Suite 406","","Tulsa","OK","74136","","Kraker Petroleum Corporation"
"01901",6/20/1994,"Devon Energy Operating Corporation","DEVON ENERGY OPERATING CORPORATION",,"","G","","","",,"","","20 North Broadway","Suite 1500","Oklahoma City","OK","73102-8260","","Devon Energy Operating Corporation"
"00850",7/11/1994,"Torch Energy Associates Ltd.","TORCH ENERGY ASSOCIATES LTD",,"","G","","","",,"","","c/o Torch Energy Corp.","1221 Lamar, Suite 1600","Houston","TX","77010","","Torch Energy Associates Ltd."
"01909",8/12/1994,"Royal International Petroleum Corporation","ROYAL INTERNATIONAL PETROLEUM CORPORATION",,"","G","","","",,"","","5835 Belle Grove","","Baton Rouge","LA","70820","","Royal International Petroleum Corporation"
"01923",9/26/1994,"YPF Exploration and Production Overseas, Inc.","YPF EXPLORATION AND PRODUCTION OVERSEAS INC",,"","G","","","",,"","","5 Greenway Plaza","Suite 250","Houston","TX","77046","","YPF Exploration and Production Overseas, Inc."
"01947",12/30/1994,"Bandera Oil & Gas Inc","BANDERA OIL & GAS INC",,"","G","","","",,"","","7660 Woodway","Stuie 400","Houston","TX","77063","","Bandera Oil & Gas Inc"
"01950",1/26/1995,"ONLINE RESOURCE EXCHANGE, INC.","ONLINE RESOURCE EXCHANGE INC",,"","G","","","",,"","","318 Camp Street, Suite 201","","New Orleans","LA","70130","","ONLINE RESOURCE EXCHANGE, INC."
"01808",3/16/1995,"Venice Gathering Company","VENICE GATHERING COMPANY",,"","G","","","",,"","","Post Office Box 1589","","Tulsa","OK","74102","","Venice Gathering Company"
"01983",5/15/1995,"Matrix Energy-E Limited Partnership","MATRIX ENERGY E LIMITED PARTNERSHIP",,"","G","","","",,"","","Post Office Box 2468","","Covington","LA","70434","","Matrix Energy-E Limited Partnership"
"01981",7/5/1995,"JRF II, L.L.C.","JRF II, LLC",,"","G","","","",,"","","c/o Sprinkle & Associates","1520 W. Canal Court, Ste 220","Littleton","CO","80120","","JRF II, L.L.C."
"01992",8/11/1995,"Basin Exploration, L.L.C.","BASIN EXPLORATION LLC",,"","G","","","",,"","","200 Travis Street","Suite 201","Lafayette","LA","70503","","Basin Exploration, L.L.C."
"02033",3/11/1996,"Michael E. Ardeel, Inc","MICHAEL E ARDEEL INC",,"","G","","","",,"","","811 Dallas","Sutie 1302","Houston","TX","77002","","Michael E. Ardeel, Inc"
"02038",3/7/1996,"Mako Offshore Exploration, Inc.","MAKO OFFSHORE EXPLORATION INC",,"","G","","","",,"","","125 South 2nd Street","Post Office Box 5410","Pagosa Springs","CO","81147","","Mako Offshore Exploration, Inc."
"02045",3/28/1996,"Jobe Oil & Gas Corporation","JOBE OIL & GAS CORPORATION",,"","G","","","",,"","","737 County Lane","","Houston","TX","70024","","Jobe Oil & Gas Corporation"
"02052",4/10/1996,"Louisiana General Oil Company","LOUISIANA GENERAL OIL COMPANY",,"","G","","","",,"","","74360 River Road","","Covington","LA","70435","","Louisiana General Oil Company"
"02049",4/2/1996,"Gasper Rice & Associates, Inc.","GASPER RICE & ASSOCIATES INC",,"","G","","","",,"","","16360 Park Ten Place","Suite 200","Houston","TX","77084","","Gasper Rice & Associates, Inc."
"02070",6/26/1996,"Tri-Union Development Corporation","TRI-UNION DEVELOPMENT CORPORATION",,"","G","","","",,"","","3850 N. Causeway Blvd.","Suite 1700","Metairie","LA","70002","","Tri-Union Development Corporation"
"02072",6/24/1996,"Griner Oil & Gas, Inc.","GRINER OIL & GAS INC",,"","G","","","",,"","","433 Metairie Road","Suite 404","Metairie","LA","70005","","Griner Oil & Gas, Inc."
"02081",7/23/1996,"Carl Herrin Oil & Gas, LLC","CARL HERRIN OIL & GAS LLC",,"","G","","","",,"","","433 Metairie Road","Suite 404","Metairie","LA","70005","","Carl Herrin Oil & Gas, LLC"
"02131",11/6/1996,"Gary L. Hall (individual)","HALL, GARY L",,"","G","","","",,"","","700 Louisiana","Suite 2100","Houston","TX","77002","","Gary L. Hall (individual)"
"02176",2/27/1997,"Pruet Offshore Company","PRUET OFFSHORE COMPANY",,"","G","","","",,"","","217 West Capitol Street","Suite 201","Jackson","MS","39201","","Pruet Offshore Company"
"02180",2/24/1997,"Metrow Energy, LLC","METROW ENERGY LLC",,"","G","","","",,"","","433 Metairie Road","Suite 404","Metairie","LA","70005","","Metrow Energy, LLC"
"02183",3/19/1997,"Walter Fuels, Inc.","WALTER FUELS INC",,"","G","","","",,"","","1100 Louisiana","Suite 200","Houston","TX","77002-5299","","Walter Fuels, Inc."
"02185",3/24/1997,"Providence Energy Corp.","PROVIDENCE ENERGY CORP",,"","G","","","",,"","","3838 Oaklawn","Suite 1222","Dallas","TX","75219","","Providence Energy Corp."
"02187",4/9/1997,"Torch E & P Company","TORCH E & P COMPANY",,"P","G","","","",,"","","670 Dona Ana Road SW","Deming","New Mexico","NM","88030","","Torch E & P Company"
"02182",4/3/1997,"Matagorda L.L.C.","MATAGORDA LLC",,"","G","","","",,"","","225 Baronne Street","Suite 1616","New Orleans","LA","70112","","Matagorda L.L.C."
"01906",7/1/1994,"Union Petroleum Company","UNION PETROLEUM COMPANY",,"","G","","","",,"","","1201 Louisiana","Suite 3425","Houston","TX","77002","","Union Petroleum Company"
"02197",8/7/1997,"PLAYA Minerals and Energy, Inc.","PLAYA MINERALS AND ENERGY INC",,"","G","","","",,"","","600 Travis","7300 Texas Commerce Tower","Houston","TX","77002","","PLAYA Minerals and Energy, Inc."
"02210",8/20/1997,"Global Marine Inc.","GLOBAL MARINE INC",,"","G","","","",,"","","15375 Memorial Drive","","Houston","TX","77079-4101","","Global Marine Inc."
"02212",8/22/1997,"Texas Meridian Resources Exploration, Inc.","TEXAS MERIDIAN RESOURCES EXPLORATION INC",,"","G","","","",,"","","15995 N. Barkers Landing","Suite 300","Houston","TX","77079","","Texas Meridian Resources Exploration, Inc."
"02214",8/15/1997,"Aries Resources, LLC","ARIES RESOURCES LLC",,"","G","","","",,"","","1221 McKinney","Suite 3100","Houston","TX","77010","","Aries Resources, LLC"
"02089",8/5/1996,"Sally Blackie (individual)","BLACKIE, SALLY",,"","G","","","",,"","","Route 7, Box 7046","","Breham","TX","77833","","Sally Blackie (individual)"
"02098",8/5/1996,"D. Michael Harris  (individual)","HARRIS, D. MICHAEL",,"","G","","","",,"","","Post Office Box 90218","","Austin","TX","78709-0218","","D. Michael Harris  (individual)"
