"LEASE_NUMBER","MMS_COMPANY_NUM","BUS_ASC_NAME","ASGN_STATUS_CODE","OWNER_ALIQUOT_CD","SN_LSE_OWNER","ASSGN_APRV_DATE","MMS_STRT_DATE","ASSGN_TERM_DATE","OWNER_GROUP_CODE","ASSIGNMENT_PCT","ASSGN_EFF_DATE","LEASE_NUM"
"G35972","00059","Hess Corporation","C","1","288693",6/1/2017,6/9/2006,,"","100",6/1/2017,"G35972"
"G35973","00059","Hess Corporation","C","1","288694",6/1/2017,6/9/2006,,"","100",6/1/2017,"G35973"
"G35994","00059","Hess Corporation","C","1","288718",7/1/2017,6/9/2006,,"","100",7/1/2017,"G35994"
"G35995","00059","Hess Corporation","C","1","288719",7/1/2017,6/9/2006,,"","100",7/1/2017,"G35995"
"G36017","00059","Hess Corporation","C","1","303225",2/16/2022,6/9/2006,,"","50",1/12/2022,"G36017"
"G36018","00059","Hess Corporation","C","1","303237",2/16/2022,6/9/2006,,"","50",1/12/2022,"G36018"
"G36019","00059","Hess Corporation","C","1","303239",2/16/2022,6/9/2006,,"","50",1/12/2022,"G36019"
"G36029","00059","Hess Corporation","C","1","303249",2/16/2022,6/9/2006,,"","40",1/12/2022,"G36029"
"G36049","00059","Hess Corporation","C","1","288775",7/1/2017,6/9/2006,,"","100",7/1/2017,"G36049"
"G36515","00059","Hess Corporation","C","1","294588",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36515"
"G36530","00059","Hess Corporation","C","1","294603",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36530"
"G36531","00059","Hess Corporation","C","1","294604",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36531"
"G36532","00059","Hess Corporation","C","1","294605",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36532"
"G36533","00059","Hess Corporation","C","1","294606",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36533"
"G36551","00059","Hess Corporation","C","1","303937",5/17/2022,6/9/2006,,"","100",8/1/2020,"G36551"
"G36603","00059","Hess Corporation","C","1","294684",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36603"
"G36958","00059","Hess Corporation","C","1","301786",4/28/2021,6/9/2006,,"","50",3/1/2021,"G36958"
"G36981","00059","Hess Corporation","C","1","303227",2/16/2022,6/9/2006,,"","40",1/12/2022,"G36981"
"G36982","00059","Hess Corporation","C","1","303230",2/16/2022,6/9/2006,,"","40",1/12/2022,"G36982"
"G36984","00059","Hess Corporation","C","1","303117",2/8/2022,6/9/2006,,"","25",12/14/2021,"G36984"
"G36986","00059","Hess Corporation","C","1","303120",2/8/2022,6/9/2006,,"","25",12/14/2021,"G36986"
"G36643","00059","Hess Corporation","C","1","294729",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36643"
"G36644","00059","Hess Corporation","C","1","294730",7/1/2019,6/9/2006,,"","100",7/1/2019,"G36644"
"G36647","00059","Hess Corporation","C","1","294735",6/1/2019,6/9/2006,,"","100",6/1/2019,"G36647"
"G36649","00059","Hess Corporation","C","1","303107",2/8/2022,6/9/2006,,"","50",12/14/2021,"G36649"
"G36650","00059","Hess Corporation","C","1","294738",8/1/2019,6/9/2006,,"","100",8/1/2019,"G36650"
"G36651","00059","Hess Corporation","C","1","294739",6/1/2019,6/9/2006,,"","100",6/1/2019,"G36651"
"G36130","00059","Hess Corporation","C","1","303732",5/2/2022,6/9/2006,,"","30",12/22/2021,"G36130"
"G36235","00059","Hess Corporation","C","1","291545",7/1/2018,6/9/2006,,"","100",7/1/2018,"G36235"
"G36251","00059","Hess Corporation","C","1","291561",7/1/2018,6/9/2006,,"","100",7/1/2018,"G36251"
"G36252","00059","Hess Corporation","C","1","291562",7/1/2018,6/9/2006,,"","100",7/1/2018,"G36252"
"G36286","00059","Hess Corporation","C","1","303256",2/16/2022,6/9/2006,,"","40",1/12/2022,"G36286"
