name,parentId,description,id,ELC_STATUS_ID,RES_ID,SOURCE_DB,SOURCE_TABLE,WMT_AREA_ID,WMT_CATEGORY_ID,WMT_CONTRACTOR_ID,WMT_FUNC_CODE_ID,WMT_LOCATION_ID,WMT_PO_ID,WMT_SAFETYCRITICALELEMENT_ID,WMT_SYSTEM_ID,WMT_TAG_CREATED_DATE,WMT_TAG_CRITICALLINE,WMT_TAG_DESC,WMT_TAG_GLOBALID,WMT_TAG_HISTORYREQUIRED,WMT_TAG_ID,WMT_TAG_ID_ANCESTOR,WMT_TAG_ISACTIVE,WMT_TAG_ISOWNEDBYPROJECT,WMT_TAG_LOOP,WMT_TAG_MAINID,WMT_TAG_NAME,WMT_TAG_UPDATED_BY,WMT_TAG_UPDATED_DATE,WMT_TAG_STATUSCHGDATE,WMT_TAG_COMMENT,WMT_TAG_SUFFIX,WMT_SYSTEM_ACTIVE,WMT_SYSTEM_CODE,WMT_SYSTEM_DESC,WMT_SYSTEM_NAME,WMT_LOCATION_ACTIVE,WMT_LOCATION_CODE,WMT_LOCATION_EXTENDACTIVEWOP,WMT_LOCATION_EXTERNALOWNERSHIP,WMT_LOCATION_MAITIS,WMT_LOCATION_NAME,WMT_LOCATION_NOCOPIESDEFAULTIC,WMT_LOCATION_NOCOPIESWOPERMIT,WMT_LOCATION_OPERATIONHOURS,WMT_LOCATION_PROGVALUE,WMT_LOCATION_SIMULATETIMEFRAME,WMT_LOCATION_SJAMAXNOOFTASKS,WMT_LOCATION_USEPLOTALTITUDE,WMT_LOCATION_WORKSTART
23-TE-96116-04,3117826349444493,VRD - PH 1STSTGGEAR THRUST BRG OUT,702630644612,1211,525283,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGGEAR THRUST BRG OUT,1000000000681024,Y,346434,345637,1,0,96116,681760,23-TE-96116-04,8137,2014-07-11 09:25:15,,,,,,,,,,,,,,,,,,,,,
23-TE-96148,8515799768286580,VRD - PH 1STSTG COMP SEAL GAS HTR,5156972057719,1211,532924,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTG COMP SEAL GAS HTR,1000000000682252,Y,346452,346633,1,0,96148,681760,23-TE-96148,8137,2014-07-11 09:25:15,,,,,,,,,,,,,,,,,,,,,
23-YT-96117-01,3257705896277160,VRD - PH 1STSTGGEAR 1 JOURNBRG DE,8019487489463,1211,446683,workmate,wmate_dba.wmt_tag,1600,1116,1686,4627,1004,8309,1060,4440,2009-06-26 15:36:38,N,VRD - PH 1STSTGGEAR 1 JOURNBRG DE,1000000000715794,Y,346995,346935,1,0,96117,681760,23-YT-96117-01,9802,2013-12-09 12:53:01,,,,,,,,,,,,,,,,,,,,,
23-FI-96151,4239585628663887,SOFT TAG VRD - PH 1STSTG PRIM SEAL LEAK DE,9258567430091,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:13:18,N,SOFT TAG VRD - PH 1STSTG PRIM SEAL LEAK DE,1000000000250739,Y,682956,345868,1,0,,681760,23-FI-96151,1001,2015-10-09 11:56:28,2014-10-06 07:45:10,,,,,,,,,,,,,,,,,,,,
23-LT-92521,2069232457199305,VRD - PH 1STSTGSUCTSCRUBBER LEVEL,12670864495024,1211,523206,workmate,wmate_dba.wmt_tag,1585,1116,1686,4469,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGSUCTSCRUBBER LEVEL,1000000000708182,Y,346104,346127,1,0,92521,681760,23-LT-92521,9802,2013-12-09 12:53:00,,Settings are reference from bottom seam,,,,,,,,,,,,,,,,,,,
23-EZSM-92501A,576308321452985,VRD - PH 1STSTGSUCTCLR GAS IN,13001911877650,1211,145665,workmate,wmate_dba.wmt_tag,1585,1116,1686,9265,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGSUCTCLR GAS IN,1000000000708494,Y,345694,345654,1,0,92501A,681760,23-EZSM-92501A,4332,2015-08-14 14:36:39,,"Changed barriere for tag, ref. VID-EQ-000785",,,,,,,,,,,,,,,,,,,
23-TAHH-96115-01,1491649372046525,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH HIGH,26731253648529,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11405,1004,8309,,4440,2015-10-06 12:18:22,N,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH HIGH,1000000000112475,Y,769940,346427,1,0,,681760,23-TAHH-96115-01,1001,2015-10-06 13:14:19,,,,,,,,,,,,,,,,,,,,,
23-LEX-92529,1081261865374641,VRD - PH 1STSTGSCRUB I-FACE,38840252674561,1211,,workmate,wmate_dba.wmt_tag,1585,1116,1686,4606,1004,8309,1060,4440,2009-10-05 17:21:12,N,VRD - PH 1STSTGSCRUB I-FACE,1000000000723051,Y,364488,358644,1,0,92529,681760,23-LEX-92529,4332,2015-08-14 14:36:42,,,,,,,,,,,,,,,,,,,,,
23-TE-96131-01,6191827428964450,VRD - PH 1STSTG MOTOR JOURN BRG NDE,40737621439156,1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4564,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTG MOTOR JOURN BRG NDE,1000000000681026,Y,346435,346066,1,0,96131,681760,23-TE-96131-01,4332,2015-08-14 14:36:35,,Added Alarm_Setpoint_Units: ?C (Ref: VRD-CCR-000505)Alarm limit H changed from: 70 To: 80 (Ref: VRD-FEM-3058),,,,,,,,,,,,,,,,,,,
23-FO-96188,2357112351749647,VRD - PH 1STSTG LUBE OIL PURGE GAS,49184996243859,1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4390,1004,8309,,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTG LUBE OIL PURGE GAS,1000000000707046,Y,345797,346682,1,0,96188,681760,23-FO-96188,9802,2013-12-09 12:53:00,,,,,,,,,,,,,,,,,,,,,
23-VG-9101,4518112062673878,VRD - 1ST STAGE SUCTION SCRUBBER,53231887945301,1211,531331,workmate,wmate_dba.wmt_tag,1585,1120,1686,6330,1004,8309,,4440,2009-06-26 15:36:37,N,VRD - 1ST STAGE SUCTION SCRUBBER,1000000000716797,Y,346867,681792,1,0,,681760,23-VG-9101,1001,2015-10-08 15:05:08,,"Capacity: 55.3 m3, Size: 3.34m ID x 5.2m T/T, Operating conditions: 3.4 barg @ 40?C",,,,,,,,,,,,,,,,,,,
23-PIC-92538-06,3956345651792907,SOFT TAG VRD - PH 1STSTGCOMP SUCTION STV,66838572336451,1211,,workmate,wmate_dba.wmt_tag,1585,1152,1686,11275,1004,,,4440,2013-05-16 11:50:16,N,SOFT TAG VRD - PH 1STSTGCOMP SUCTION STV,1000000000291743,Y,698575,346362,1,0,,681760,23-PIC-92538-06,1001,2015-10-09 11:56:33,,"MIN, MAX AND UNIT DCS RANGE ADDED. (REF: VRD-FEM-002317)",,,,,,,,,,,,,,,,,,,
23-XY-92748-04,3995911524431747,VRD - PH OFFGAS TO 1STSTGSUCTCOOLER,75078035259592,1211,222320,workmate,wmate_dba.wmt_tag,1584,1116,1686,6213,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH OFFGAS TO 1STSTGSUCTCOOLER,1000000000717637,Y,346916,346900,1,0,92748,681760,23-XY-92748-04,4332,2015-08-14 14:36:41,,,,,,,,,,,,,,,,,,,,,
45-FT-92139A,6191827428964450,VRD - PH 1STSTGCOMPR MTR COOLMED OUT,77924551600527,1211,523857,workmate,wmate_dba.wmt_tag,1600,1116,1686,4400,1004,8309,1060,2363,2009-06-26 15:36:39,N,VRD - PH 1STSTGCOMPR MTR COOLMED OUT,1000000000717383,Y,350126,346066,1,0,92139A,681760,45-FT-92139A,9802,2013-12-09 12:53:00,,"Added Min + Max + Unit for Calib. Range. (Ref: VRD-CCR-000505)Changed Units from m3/hr to m3/h (VRD-CCR-000505, 12.04.2012)",,,,,,,,,,,,,,,,,,,
23-YI-96119-01,2463931989491990,SOFT TAG VRD - PH 1STSTGGEAR 2 JOURNBRG NDE,82577695456858,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:18:06,N,SOFT TAG VRD - PH 1STSTGGEAR 2 JOURNBRG NDE,1000000000251072,Y,683286,346939,1,0,,681760,23-YI-96119-01,1001,2015-10-09 11:56:31,2014-10-06 07:45:15,,,,,,,,,,,,,,,,,,,,
