id,externalId,name,isString,isStep,description,securityCategories,unit,tag,scan,span,step,zero,recno,excdev,excmax,excmin,exdesc,future,compdev,compmax,compmin,convers,pointid,srcptid,engunits,shutdown,userint1,userint2,archiving,location1,location2,location3,location4,location5,pointtype,ptclassid,sourcetag,totalcode,userreal1,userreal2,descriptor,digitalset,filtercode,ptclassrev,squareroot,compressing,pointsource,ptclassname,typicalvalue,displaydigits,excdevpercent,instrumenttag,compdevpercent
6190956317771,pi:160627,VAL_23-PDT-92501:X.Value,False,False,PH 1stStgSuctCool Gas In ESDV,[],,VAL_23-PDT-92501:X.Value,1,100,0,0,145127,0,600,0,,0,0,28800,0,1,160627,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Gas In ESDV,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PDT-92501:X.Value,0
12378169571900,pi:161021,VAL_23-YA-96118-02:Z.X.Value,False,False,PH 1stStg Gear1 Journ BRG NDE,[],,VAL_23-YA-96118-02:Z.X.Value,0,100,0,0,145521,0,600,0,,0,0,28800,0,1,161021,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Gear1 Journ BRG NDE,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-YA-96118-02:Z.X.Value,0
25870989735584,pi:160252,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,False,False,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),[],,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,0,1,1,147,144752,0,600,0,,0,0,28800,0,1,160252,0,,0,0,0,1,1,2,1,1,0,Digital,2,,0,0,0,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),Valhall_True_False,0,1,0,1,LAB-WAS-VAL3P,classic,0,-5,0,23-KA-9101-M01_OC_low stage_NOC3low:VALUE,0
52336799167961,pi:160731,VAL_23-PT-96186:Z.X1.Value,False,False,PH 1st Stg Oil Header,[],,VAL_23-PT-96186:Z.X1.Value,1,100,0,0,145231,0,600,0,,0,0,28800,0,1,160731,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Oil Header,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PT-96186:Z.X1.Value,0
54795035045033,pi:160031,VAL_23_FIC_92543_02:Z.X.Value,False,False,PH 1stStgComp AntSrg Act CntrlMod,[],,VAL_23_FIC_92543_02:Z.X.Value,1,100,0,0,144531,0,600,0,,0,0,28800,0,1,160031,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp AntSrg Act CntrlMod,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_FIC_92543_02:Z.X.Value,0
62243813742212,pi:161024,VAL_23-YA-96120-01:Z.X.Value,False,False,PH 1stStg Gear2 Journ BRG DE,[],,VAL_23-YA-96120-01:Z.X.Value,0,100,0,0,145524,0,600,0,,0,0,28800,0,1,161024,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Gear2 Journ BRG DE,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-YA-96120-01:Z.X.Value,0
75475333173539,pi:160920,VAL_23-TT-96115-01:Z.X.Value,False,False,PH 1stStg Gear Thrust BRG IN,[],,VAL_23-TT-96115-01:Z.X.Value,0,100,0,0,145420,0,600,0,,0,0,28800,0,1,160920,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Gear Thrust BRG IN,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-TT-96115-01:Z.X.Value,0
75873560338797,pi:160574,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,False,False,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,[],,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,1,100,0,0,145074,0,600,0,,0,0,28800,0,1,160574,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-LY-92529_SILch0_SC0_TYSP:VALUE,0
138649441615650,pi:160061,VAL_23_FT_92537_03:Z.X.Value,False,False,PH 1stStgComp Flow,[],,VAL_23_FT_92537_03:Z.X.Value,1,100,0,0,144561,0,600,0,,0,0,28800,0,1,160061,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp Flow,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_FT_92537_03:Z.X.Value,0
163138308360797,pi:160060,VAL_23_FT_92537_02:Z.X.Value,False,False,PH 1stStgComp Discharge,[],,VAL_23_FT_92537_02:Z.X.Value,1,100,0,0,144560,0,600,0,,0,0,28800,0,1,160060,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp Discharge,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_FT_92537_02:Z.X.Value,0
